Downloaded from http://www.GuruFocus.com on 2022-06-3 at 04:59(CST), Friday
Filename: Gurufocus_EQIX_Financial_2022-06-3-04-59.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

EQIX,Equinix Inc,USA,Real Estate,REITs,REIT - SpecialtyREIT - Specialty,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","694.640000"
"Market Cap (Million)","63227.385"
"Shares Outstanding (Million)","91.02"
"PE Ratio","128.16"
"PB Ratio","5.78"
"PS Ratio","9.30"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","8.10","7.10","8.40"
"EBITDA  Growth (%)","8.60","7.00","6.40"
"Free Cash Flow Growth (%)","0.00","0.00","0.00"
"Book Value Growth (%)","13.00","13.00","1.80"

30 Year Financials of EQIX - Equinix Inc

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","201812","201912","202012","202112","TTM/current",",","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806","201809","201812","201903","201906","201909","201912","202003","202006","202009","202012","202103","202106","202109","202112","202203"
"Revenue per Share","-","-","-","-","-","-","-","0.282","9.928","25.789","25.815","12.281","9.237","9.228","10.049","13.052","16.947","22.243","26.695","32.687","36.425","42.956","46.673","46.610","51.005","56.341","63.240","65.685","67.849","73.395","74.688","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.579","0.680","2.760","3.348","5.275","6.611","6.941","6.912","7.578","5.834","6.417","2.225","2.988","3.266","3.327","2.198","2.438","2.167","2.308","2.368","2.223","2.212","2.413","2.252","2.329","2.408","2.565","2.738","2.865","2.814","3.134","3.852","4.246","4.531","4.832","3.614","5.143","5.422","5.705","5.947","6.096","6.806","7.077","6.815","7.688","7.794","8.514","8.616","8.681","8.734","9.208","9.715","9.651","10.710","10.136","11.223","10.865","11.716","11.232","11.533","11.239","11.576","11.899","11.903","12.390","12.798","12.859","13.075","12.942","13.584","14.638","15.136","15.265","15.823","15.990","16.190","16.606","16.339","16.323","16.469","16.769","16.725","16.977","17.405","17.765","18.400","18.517","18.745","19.026"
"EBITDA per Share","-","-","-","-","-","-","-","-88.061","-41.156","-12.530","-1.958","1.088","2.357","3.006","2.670","3.818","5.796","8.993","10.030","13.752","15.199","15.834","15.985","17.708","19.617","23.319","27.208","29.017","26.536","28.773","28.921","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-33.051","-11.282","-11.178","-6.429","-6.048","-3.942","-2.613","-0.099","0.270","-2.009","-0.018","-0.036","-0.361","0.033","0.148","0.786","0.375","0.414","0.533","0.988","0.639","0.662","0.730","0.901","0.507","1.084","0.039","1.033","0.722","0.774","0.912","1.272","1.475","1.398","1.658","1.326","2.122","2.269","2.329","2.268","2.384","2.311","2.731","2.635","3.218","3.192","3.487","3.679","3.801","3.759","3.721","3.959","3.968","2.737","4.236","4.357","4.452","3.690","4.661","2.734","4.772","4.675","4.529","3.786","3.720","5.194","5.265","5.433","5.236","5.464","6.127","6.464","6.447","6.470","7.220","7.080","7.264","7.443","7.236","7.096","6.876","7.226","6.224","6.247","7.495","6.142","7.772","7.375","7.632"
"EBIT per Share","-","-","-","-","-","-","-","-151.008","-81.700","-43.390","-24.345","-6.659","-1.376","-0.124","0.121","0.704","1.972","4.619","4.223","6.493","7.506","7.205","6.786","8.721","7.795","9.873","11.902","13.844","10.437","10.453","10.214","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-59.383","-18.701","-21.018","-16.079","-14.624","-12.252","-9.706","-7.030","-6.082","-7.070","-5.428","-2.092","-2.445","-1.866","-1.537","-0.836","-0.652","-0.393","-0.250","-0.146","-0.160","-0.106","0.010","0.102","-0.101","-0.113","-0.054","0.378","0.027","0.087","0.184","0.358","0.522","0.389","0.563","0.499","1.046","1.127","1.213","1.227","1.190","0.868","1.161","1.034","1.559","1.510","1.594","1.754","1.984","1.933","1.694","1.972","1.965","0.527","2.186","2.243","2.318","1.451","2.486","0.349","2.647","2.460","2.235","1.437","0.776","2.181","2.277","2.523","2.278","2.219","2.591","2.778","2.585","2.616","3.412","3.288","3.449","3.677","3.474","3.255","2.977","3.260","2.195","2.038","3.099","1.523","3.141","2.694","2.856"
"Earnings per Share (Diluted)","-","-","-","-","-","-","-","-159.105","-111.182","-76.620","-7.230","-8.760","-3.870","-1.780","-0.220","-0.160","2.790","1.750","0.820","1.740","2.830","1.890","-4.960","3.210","1.790","3.000","4.560","5.990","4.180","5.530","5.420","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-162.515","-76.800","-83.706","-22.364","-17.827","-17.252","-15.336","-32.907","-10.967","-5.112","-7.940","-14.058","7.187","-3.000","-2.440","-2.120","-1.240","-2.000","-0.510","-0.360","-1.220","-0.260","-0.140","-0.030","-1.350","-0.180","-0.190","-0.180","0.330","-0.150","0.040","0.120","-0.190","0.100","0.020","0.150","2.520","0.400","0.440","0.470","0.430","0.350","-0.050","0.240","0.290","0.530","0.640","0.200","0.370","0.710","0.730","0.540","0.880","0.650","-0.520","0.830","0.880","0.810","0.220","0.790","-6.420","1.340","1.030","0.710","0.180","-0.460","0.640","0.720","0.860","0.570","0.580","1.020","0.820","0.790","0.850","1.550","1.360","1.440","1.690","1.410","1.460","1.380","1.520","0.740","0.570","1.740","0.760","1.680","1.360","1.620"
"EPS without NRI","-","-","-","-","-","-","-","-159.105","-111.182","-76.620","-7.230","-8.760","-3.870","-1.780","-0.230","-0.160","2.790","1.750","0.810","1.720","2.580","1.890","-4.960","3.210","1.620","3.000","4.560","5.990","4.180","5.530","5.420","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-162.520","-76.800","-83.706","-22.364","-17.827","-17.252","-15.336","-32.907","-10.967","-5.112","-7.940","-14.058","7.187","-3.000","-2.440","-2.120","-1.240","-2.000","-0.510","-0.360","-1.220","-0.260","-0.140","-0.030","-1.350","-0.200","-0.190","-0.180","0.330","-0.150","0.040","0.120","-0.190","0.100","0.020","0.150","2.520","0.400","0.440","0.470","0.430","0.350","-0.050","0.240","0.280","0.530","0.640","0.190","0.360","0.710","0.720","0.530","0.660","0.650","-0.520","0.830","0.880","0.810","0.220","0.790","-6.420","1.340","1.030","0.710","0.180","-0.550","0.560","0.680","0.880","0.570","0.580","1.020","0.820","0.790","0.850","1.550","1.360","1.440","1.690","1.410","1.460","1.380","1.520","0.740","0.570","1.740","0.760","1.680","1.360","1.620"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","-3.755","0.459","0.435","-1.018","0.362","1.456","-0.454","2.119","3.444","-0.936","-1.599","3.023","2.867","6.423","7.380","5.615","4.043","2.916","4.870","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-3.535","-3.755","-1.710","0.020","0.006","0.459","0.227","0.249","-0.521","0.435","0.161","-0.787","-0.133","-1.018","-0.363","-0.119","-0.326","0.362","0.786","0.959","1.694","1.456","0.824","-0.216","-0.380","-0.454","-0.423","0.901","1.204","2.119","1.948","2.999","3.166","3.444","2.941","0.177","0.841","-0.936","0.627","-0.023","-0.150","-1.599","-0.739","1.642","1.055","3.023","0.523","1.307","2.699","2.867","3.994","4.124","4.432","6.423","6.259","8.243","7.894","7.380","8.332","7.494","7.192","5.615","6.176","5.587","4.060","4.043","1.760","-0.183","1.351","2.916","4.869"
"Free Cash Flow per Share","-","-","-","-","-","-","-","-399.198","-334.738","-51.503","-11.377","-2.605","0.789","0.926","-3.043","-12.986","-4.316","-0.354","-4.163","-2.047","-2.557","0.643","0.558","0.457","-1.328","0.780","-3.501","-1.025","0.309","-2.260","1.488","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-173.077","-120.624","-5.742","-96.362","-22.623","-10.574","-19.913","1.018","-1.835","-8.083","-1.576","0.096","-2.338","-0.437","0.051","-0.118","0.104","0.255","0.179","0.236","0.451","0.348","-1.093","1.106","-0.496","-0.820","-0.903","-0.816","-1.808","-4.626","-3.186","-2.975","-1.682","-0.514","-0.845","-1.235","-0.571","0.203","0.485","-0.471","-1.069","-2.110","-0.657","-0.434","-1.531","-1.136","0.216","0.442","-0.382","-0.033","-1.986","-0.129","0.159","0.492","0.663","-0.718","1.233","-1.178","1.094","-0.654","1.445","-0.154","-0.029","-0.741","-1.363","0.404","0.781","-1.189","-0.407","-0.536","0.893","0.784","-0.613","0.232","-1.599","-1.508","0.696","1.165","-0.676","-2.149","1.345","1.055","-0.370","-1.649","-1.919","-1.033","-0.150","0.821","1.850"
"Operating Cash Flow per Share","-","-","-","-","-","-","-","-75.634","-51.924","-28.001","-9.200","-1.798","2.083","2.822","2.641","3.735","6.434","8.960","8.768","12.262","12.198","12.064","13.167","15.301","14.394","18.562","22.637","23.533","26.126","28.174","30.173","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-17.770","-15.805","-8.737","-12.771","-8.113","-7.543","-5.747","-6.647","-0.769","-7.699","-1.237","0.264","-2.298","-0.309","0.205","0.204","0.429","0.489","0.594","0.559","0.703","0.765","0.644","0.676","0.459","0.566","0.719","0.888","0.668","1.160","1.463","0.385","1.690","1.711","1.665","1.446","2.238","2.003","2.696","2.023","2.447","1.308","2.427","2.608","2.494","2.770","2.959","3.862","2.467","3.721","2.043","3.910","1.574","2.980","3.855","3.313","3.217","1.916","3.918","3.656","4.068","3.695","3.715","3.832","1.539","3.955","4.668","4.170","3.372","3.904","4.961","6.241","3.778","6.755","5.196","6.903","5.130","6.405","5.831","6.156","6.000","6.538","5.945","7.635","4.354","6.650","7.348","9.800","6.375"
"FFO per Share","-","-","-","-","-","-","-","-95.763","-50.828","-45.763","15.157","-1.017","-0.141","1.350","2.325","3.053","6.697","6.597","6.629","9.237","10.356","10.519","4.243","12.198","13.688","16.450","19.862","21.352","20.365","23.853","24.119","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-50.302","-13.032","-12.676","-8.174","-8.796","-7.180","-25.867","-3.930","1.204","-2.881","-8.604","9.243","-0.918","-0.537","-0.436","0.449","-0.969","0.301","0.424","-0.060","0.534","0.623","0.687","-0.389","0.425","1.012","-0.087","0.968","0.545","0.724","0.853","0.835","1.135","1.098","1.319","2.736","1.538","1.669","1.750","1.637","1.678","1.544","1.964","1.481","2.346","2.453","2.488","1.817","2.494","2.522","2.477","2.819","2.617","1.687","2.843","3.012","2.909","2.458","2.951","-4.033","3.461","3.249","3.007","2.524","2.487","3.649","3.751","3.793","3.531","3.829","4.552","4.508","4.651","4.701","5.363","5.152","5.429","5.464","5.188","5.291","5.278","5.482","4.856","4.776","6.137","5.378","6.313","6.035","6.393"
