Downloaded from http://www.GuruFocus.com on 2022-06-3 at 05:02(CST), Friday
Filename: Gurufocus_JNJ_Financial_2022-06-3-05-02.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

JNJ,Johnson & Johnson,USA,Healthcare,Drug Manufacturers,Drug Manufacturers - GeneralDrug Manufacturers - General,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","177.150000"
"Market Cap (Million)","466152.830"
"Shares Outstanding (Million)","2631.40"
"PE Ratio","23.89"
"PB Ratio","6.20"
"PS Ratio","4.97"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","3.80","5.50","12.60"
"EBITDA  Growth (%)","5.40","3.90","14.20"
"Free Cash Flow Growth (%)","6.60","5.80","-5.40"
"Book Value Growth (%)","0.70","0.70","13.60"

30 Year Financials of JNJ - Johnson & Johnson

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","201812","201912","202012","202112","TTM/current",",","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806","201809","201812","201903","201906","201909","201912","202003","202006","202009","202012","202103","202106","202109","202112","202203"
"Revenue per Share","5.235","5.380","6.038","7.292","7.930","8.256","8.470","9.111","9.413","10.491","11.885","13.320","15.860","16.821","17.995","20.990","22.481","22.192","22.084","23.432","23.901","24.787","25.954","24.912","25.777","27.848","29.897","30.570","30.922","35.069","35.518","","1.287","1.351","1.333","1.380","1.359","1.351","1.326","1.421","1.506","1.549","1.569","1.723","1.837","1.825","1.875","1.958","1.973","1.981","2.018","2.075","2.100","2.058","2.024","4.207","2.129","2.085","2.160","2.373","2.453","2.426","1.959","2.594","2.478","2.389","2.131","2.528","2.629","2.590","2.710","2.806","2.956","3.000","3.115","3.254","3.426","3.475","3.183","3.847","3.821","3.839","4.296","4.244","4.219","4.095","4.222","4.341","4.493","4.507","4.655","5.142","5.177","5.139","5.531","5.650","5.782","5.623","5.424","5.386","5.478","5.400","5.927","5.588","5.483","5.377","5.629","5.833","5.967","5.761","5.872","5.816","5.888","6.051","6.192","6.123","6.179","6.100","6.393","6.302","6.783","6.447","6.423","6.148","6.325","6.092","6.360","6.235","6.614","6.398","6.546","6.450","6.872","7.178","7.365","7.324","7.654","7.460","7.481","7.418","7.639","7.764","7.762","7.747","6.879","7.898","8.416","8.351","8.726","8.725","9.282","8.785"
"EBITDA per Share","1.080","1.146","1.355","1.690","1.948","2.075","2.228","2.438","2.648","3.081","3.713","4.054","4.850","4.970","5.361","5.619","7.122","6.805","7.294","5.798","6.390","6.971","8.726","8.352","8.707","8.833","9.504","9.185","8.960","11.350","10.710","","0.299","0.287","0.201","0.325","0.320","0.289","0.222","0.352","0.360","0.359","0.285","0.452","0.449","0.416","0.387","0.527","0.522","0.521","0.379","0.583","0.573","0.549","0.372","1.241","0.609","0.582","0.437","0.737","0.701","0.688","0.385","0.802","0.733","0.690","0.488","0.815","0.826","0.803","0.624","0.971","0.965","0.975","0.796","1.112","1.098","1.113","0.771","1.318","1.316","1.261","0.935","1.435","1.317","1.257","0.944","1.428","1.325","1.413","1.192","1.648","1.561","1.565","0.837","1.923","1.815","1.830","1.551","1.945","1.816","1.812","1.232","2.546","1.800","1.813","1.128","1.944","1.556","1.810","0.485","2.150","1.083","1.680","1.496","1.897","2.040","1.648","1.388","2.286","2.333","2.751","1.349","2.338","2.404","1.843","1.768","2.263","2.145","2.291","2.011","2.429","2.234","2.458","1.715","2.740","2.551","2.345","1.873","2.329","3.280","1.282","2.289","3.100","2.143","2.346","1.376","3.512","3.197","2.125","2.522","2.866"
"EBIT per Share","0.867","0.911","1.077","1.359","1.578","1.686","1.775","1.947","2.134","2.560","3.169","3.459","4.139","4.273","4.626","4.665","6.124","5.810","6.240","4.660","5.087","5.545","7.366","7.021","7.361","6.778","6.964","6.574","6.252","8.586","7.989","","0.248","0.229","0.151","0.264","0.259","0.229","0.166","0.285","0.292","0.290","0.212","0.374","0.372","0.339","0.289","0.437","0.431","0.423","0.287","0.482","0.474","0.431","0.301","1.027","0.491","0.475","0.315","0.590","0.585","0.551","0.286","0.649","0.603","0.559","0.375","0.682","0.700","0.662","0.504","0.838","0.828","0.829","0.667","0.964","0.958","0.954","0.623","1.151","1.141","1.101","0.727","1.265","1.136","1.083","0.774","1.254","1.142","1.230","0.998","1.436","1.327","1.360","0.534","1.690","1.575","1.558","1.296","1.702","1.572","1.571","0.966","2.284","1.545","1.553","0.851","1.672","1.277","1.528","0.181","1.871","0.778","1.324","1.131","1.534","1.698","1.309","1.005","1.934","2.002","2.423","1.000","2.022","2.088","1.512","1.399","1.945","1.823","1.965","1.630","2.098","1.815","1.833","1.034","2.101","1.920","1.711","1.237","1.676","2.647","0.635","1.610","2.446","1.495","1.665","0.649","2.803","2.509","1.446","1.832","2.202"
"Earnings per Share (Diluted)","0.160","0.680","0.780","0.930","1.085","1.205","1.060","1.390","1.610","1.840","2.160","2.290","2.740","3.350","3.730","3.630","4.570","4.400","4.780","3.490","3.860","4.810","5.700","5.480","5.930","0.470","5.610","5.630","5.510","7.810","7.420","","0.175","0.165","-0.355","0.195","0.190","0.175","0.125","0.210","0.215","0.205","0.145","0.250","0.255","0.240","0.180","0.290","0.290","0.275","0.210","0.330","0.335","0.315","0.225","0.365","0.370","0.350","-0.025","0.400","0.410","0.390","0.185","0.465","0.440","0.430","0.300","0.500","0.480","0.490","0.360","0.590","0.540","0.570","0.460","0.690","0.400","0.690","0.510","0.830","0.820","0.780","0.293","0.940","0.860","0.850","0.700","1.100","0.950","0.940","0.740","0.880","1.050","0.880","0.820","1.260","1.170","1.170","0.970","1.260","1.150","1.200","0.790","1.620","1.230","1.230","0.700","1.250","1.000","1.150","0.090","1.410","0.500","1.050","0.910","1.220","1.330","1.040","1.230","1.640","1.510","1.660","0.890","1.530","1.610","1.200","1.150","1.590","1.430","1.530","1.380","1.610","1.400","1.370","-3.990","1.600","1.450","1.440","1.120","1.390","2.080","0.660","1.500","2.170","1.360","1.330","0.650","2.320","2.350","1.370","1.770","1.930"
"EPS without NRI","0.385","0.680","0.780","0.930","1.085","1.205","1.060","1.390","1.610","1.840","2.160","2.290","2.740","3.350","3.730","3.630","4.570","4.400","4.780","3.490","3.860","4.810","5.700","5.480","5.930","0.470","5.610","5.630","5.510","7.810","7.420","","0.175","0.165","-0.130","0.195","0.190","0.175","0.125","0.210","0.215","0.205","0.145","0.250","0.255","0.240","0.180","0.290","0.290","0.275","0.210","0.330","0.335","0.315","0.225","0.365","0.370","0.350","-0.025","0.400","0.410","0.390","0.185","0.465","0.440","0.430","0.300","0.500","0.480","0.490","0.360","0.590","0.540","0.570","0.460","0.690","0.400","0.690","0.510","0.830","0.820","0.780","0.293","0.940","0.860","0.850","0.700","1.100","0.950","0.940","0.740","0.880","1.050","0.880","0.820","1.260","1.170","1.170","0.970","1.260","1.150","1.200","0.790","1.620","1.230","1.230","0.700","1.250","1.000","1.150","0.090","1.410","0.500","1.050","0.910","1.220","1.330","1.040","1.230","1.640","1.510","1.660","0.890","1.530","1.610","1.200","1.150","1.590","1.430","1.530","1.380","1.610","1.400","1.370","-3.990","1.600","1.450","1.440","1.120","1.390","2.080","0.660","1.500","2.170","1.360","1.330","0.650","2.320","2.350","1.370","1.770","1.930"
"Owner Earnings per Share (TTM)","0.286","0.507","0.840","0.979","1.065","1.226","1.241","1.225","1.771","2.399","2.147","2.254","2.953","2.972","3.681","3.634","4.116","5.372","4.808","4.115","3.862","4.861","5.981","6.243","5.454","6.369","6.624","7.622","7.680","7.082","6.680","","0.403","0.480","0.286","0.287","0.349","0.355","0.507","0.622","0.691","0.829","0.840","0.895","0.842","0.700","0.979","0.912","0.987","1.032","1.065","1.057","1.139","1.203","1.226","2.615","1.439","1.397","1.241","1.428","1.426","1.788","1.225","1.854","1.757","1.749","1.771","1.721","1.941","1.952","2.399","2.426","2.187","2.327","2.147","2.169","1.956","2.224","2.254","2.863","3.314","3.454","2.953","2.843","2.638","2.637","2.972","3.231","3.406","3.417","3.681","3.559","3.759","3.805","3.634","3.719","3.695","3.935","4.116","3.965","4.369","4.479","5.372","5.651","5.653","5.638","4.808","4.363","4.298","4.276","4.115","4.226","3.860","3.611","3.862","3.587","4.459","4.973","4.861","5.466","5.513","5.784","5.981","5.656","5.930","5.732","6.243","5.918","5.298","5.100","5.454","5.747","6.103","6.544","6.369","6.643","7.005","6.397","6.624","6.351","6.867","7.861","7.622","8.220","6.552","6.913","7.680","7.783","8.506","8.096","7.082","6.683"
"Free Cash Flow per Share","0.395","0.454","0.782","0.823","0.924","1.077","1.216","1.333","1.682","2.316","1.990","2.651","2.894","2.939","3.884","4.150","4.199","5.093","5.020","4.109","4.431","4.803","5.236","5.726","5.572","6.475","6.791","7.420","7.559","7.389","7.386","","0.043","0.160","0.153","0.037","0.115","0.200","0.105","0.159","0.187","0.346","0.091","0.189","0.119","0.289","0.221","0.255","0.166","0.366","0.136","0.324","0.223","0.366","0.166","0.659","0.254","0.395","0.246","0.286","0.326","0.582","0.188","0.516","0.373","0.569","0.268","0.447","0.632","0.558","0.673","0.509","0.360","0.680","0.440","0.539","0.382","0.928","0.781","0.786","0.567","1.150","0.375","0.740","0.508","1.023","0.661","1.012","0.594","1.166","1.115","1.146","0.783","1.195","1.026","0.962","0.758","1.456","1.026","0.857","1.005","1.638","1.591","1.177","1.193","1.617","1.031","0.678","1.183","1.408","0.839","0.826","1.303","1.525","0.784","0.592","1.479","1.783","0.944","1.146","1.632","1.363","1.094","0.824","1.674","1.906","1.328","0.553","1.362","1.660","2.010","0.854","1.854","2.000","1.774","1.079","1.912","1.999","1.807","1.070","1.899","2.540","1.922","1.023","1.047","2.864","2.629","1.271","1.685","2.820","1.616","1.265"
"Operating Cash Flow per Share","0.815","0.825","1.142","1.309","1.427","1.584","1.762","1.926","2.227","2.878","2.677","3.371","3.714","3.929","4.808","5.161","5.280","5.941","5.875","5.152","5.474","6.053","6.533","6.957","6.729","7.670","8.136","8.723","8.813","8.755","8.725","","0.127","0.283","0.293","0.110","0.196","0.289","0.234","0.214","0.258","0.424","0.247","0.273","0.217","0.446","0.367","0.335","0.268","0.478","0.346","0.396","0.318","0.477","0.393","0.872","0.369","0.483","0.471","0.403","0.448","0.729","0.378","0.625","0.496","0.691","0.467","0.534","0.729","0.689","0.921","0.621","0.508","0.844","0.705","0.675","0.549","1.114","1.005","0.884","0.707","1.292","0.815","0.871","0.666","1.326","1.059","1.161","0.792","1.403","1.457","1.312","0.991","1.439","1.420","1.129","0.999","1.728","1.429","1.013","1.209","1.824","1.893","1.319","1.372","1.807","1.376","0.835","1.405","1.664","1.247","1.007","1.517","1.767","1.191","0.796","1.746","2.064","1.442","1.365","1.924","1.625","1.620","1.016","1.946","2.187","1.816","0.781","1.633","1.925","2.405","1.058","2.105","2.289","2.226","1.320","2.234","2.299","2.291","1.313","2.210","2.819","2.394","1.257","1.295","3.141","3.124","1.524","1.989","3.099","2.145","1.492"
"Cash per Share","0.284","0.145","0.247","0.464","0.755","1.023","1.035","1.396","2.429","2.616","2.518","3.209","4.337","5.425","1.412","3.280","4.631","7.053","10.101","11.842","7.590","10.354","11.889","13.929","15.484","6.820","7.395","7.326","9.567","12.023","11.557","","0.172","0.260","0.284","0.186","0.227","0.247","0.145","0.130","0.222","0.337","0.247","0.179","0.402","0.499","0.464","0.647","0.698","0.783","0.755","0.822","0.839","1.119","1.023","1.076","1.158","1.391","1.035","0.960","1.054","1.336","1.396","1.510","1.617","2.009","2.429","2.112","2.480","2.698","2.616","2.450","2.298","2.440","2.518","2.643","2.648","2.981","3.209","3.491","3.634","4.411","4.337","4.592","4.425","5.102","5.425","5.781","5.019","5.059","1.412","1.794","2.063","2.907","3.280","3.955","4.670","5.334","4.631","5.056","5.343","5.198","7.053","6.530","6.863","8.053","10.101","9.811","10.831","11.319","11.842","12.327","6.150","7.157","7.590","7.730","8.929","8.944","10.354","10.395","11.204","11.770","11.889","11.283","12.262","13.481","13.929","14.484","15.555","14.851","15.484","14.599","4.787","6.045","6.820","5.669","6.762","7.217","7.395","5.775","5.783","6.821","7.326","6.847","7.269","11.694","9.567","9.351","9.615","11.776","12.023","11.557"
