Downloaded from http://www.GuruFocus.com on 2022-06-3 at 04:59(CST), Friday
Filename: Gurufocus_MSFT_Financial_2022-06-3-04-59.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

MSFT,Microsoft Corp,USA,Technology,Software,Software - InfrastructureSoftware - Infrastructure,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","274.580000"
"Market Cap (Million)","2053592.918"
"Shares Outstanding (Million)","7479.03"
"PE Ratio","28.66"
"PB Ratio","12.61"
"PS Ratio","10.78"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","10.00","14.30","21.40"
"EBITDA  Growth (%)","13.10","21.10","25.20"
"Free Cash Flow Growth (%)","8.80","17.50","19.40"
"Book Value Growth (%)","8.50","8.50","22.00"

30 Year Financials of MSFT - Microsoft Corp

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199206","199306","199406","199506","199606","199706","199806","199906","200006","200106","200206","200306","200406","200506","200606","200706","200806","200906","201006","201106","201206","201306","201406","201506","201606","201706","201806","201906","202006","202106","TTM/current",",","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201303","201306","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806","201809","201812","201903","201906","201909","201912","202003","202006","202009","202012","202103","202106","202109","202112","202203"
"Revenue per Share","0.312","0.394","0.476","0.592","0.849","1.145","1.423","1.801","2.074","2.269","2.554","2.958","3.381","3.648","4.205","5.171","6.380","6.496","6.999","8.140","8.667","9.191","10.338","11.338","11.376","12.330","14.160","16.232","18.614","22.094","25.476","","0.099","0.098","0.099","0.099","0.098","0.103","0.117","0.146","0.114","0.138","0.159","0.160","0.154","0.202","0.229","0.216","0.222","0.224","0.272","0.310","0.357","0.294","0.336","0.351","0.441","0.388","0.473","0.417","0.522","0.487","0.552","0.510","0.525","0.519","0.588","0.575","0.590","0.550","0.697","0.651","0.656","0.708","0.787","0.723","0.751","0.755","0.932","0.845","0.854","0.841","0.987","0.880","0.939","0.904","1.113","1.047","1.152","1.080","1.262","1.460","1.381","1.447","1.722","1.533","1.684","1.640","1.865","1.533","1.462","1.438","2.125","1.634","1.814","1.863","2.328","1.930","2.032","2.046","2.467","2.048","2.120","1.885","2.541","2.431","2.351","2.197","2.921","2.439","2.796","2.778","3.190","2.638","2.726","2.521","2.956","2.571","3.336","2.784","3.298","2.971","3.279","3.146","3.751","3.441","3.866","3.745","4.180","3.948","4.359","4.287","4.799","4.563","4.970","4.865","5.656","5.490","6.088","5.989","6.847","6.552"
"EBITDA per Share","0.125","0.155","0.201","0.230","0.349","0.521","0.721","1.008","1.107","1.189","1.170","1.005","0.938","1.414","1.650","2.011","2.743","2.492","3.118","3.623","3.011","3.688","4.004","3.059","4.181","5.222","6.347","7.488","8.906","11.190","13.041","","0.041","0.039","0.038","0.039","0.039","0.040","0.048","0.065","0.050","0.056","0.063","0.063","0.057","0.078","0.090","0.094","0.094","0.104","0.124","0.162","0.139","0.155","0.181","0.205","0.179","0.209","0.267","0.217","0.313","0.284","0.294","0.272","0.258","0.272","0.308","0.313","0.298","0.286","0.282","0.310","0.293","0.302","0.231","0.292","0.183","0.319","0.163","0.141","0.316","0.337","0.443","0.330","0.302","0.397","0.459","0.390","0.404","0.472","0.386","0.713","0.443","0.668","0.733","0.524","0.821","0.717","0.737","0.573","0.465","0.607","1.065","0.684","0.767","0.917","1.077","0.755","0.944","0.957","1.065","0.850","0.147","0.746","1.052","1.040","0.856","0.887","1.105","1.002","1.015","0.896","1.149","1.001","-0.002","0.893","0.957","0.887","1.449","1.153","1.368","1.300","1.403","1.430","1.609","1.545","1.782","1.768","1.809","1.819","2.093","2.113","2.333","2.160","2.301","2.535","2.845","2.739","3.074","3.208","3.512","3.247"
"EBIT per Share","0.113","0.139","0.177","0.203","0.301","0.467","0.626","0.916","0.994","1.051","1.072","0.877","0.829","1.335","1.564","1.865","2.526","2.208","2.819","3.301","2.662","3.245","3.383","2.337","3.355","4.102","5.030","5.981","7.240","9.654","11.214","","0.036","0.035","0.035","0.035","0.035","0.036","0.043","0.056","0.043","0.048","0.056","0.055","0.050","0.071","0.082","0.076","0.080","0.088","0.110","0.151","0.125","0.134","0.156","0.179","0.156","0.193","0.250","0.202","0.268","0.252","0.265","0.247","0.231","0.250","0.287","0.269","0.247","0.260","0.256","0.296","0.260","0.277","0.206","0.253","0.143","0.289","0.135","0.118","0.288","0.320","0.433","0.305","0.276","0.376","0.438","0.373","0.379","0.447","0.349","0.668","0.403","0.622","0.682","0.468","0.756","0.653","0.666","0.498","0.389","0.535","0.997","0.606","0.685","0.837","1.000","0.671","0.863","0.872","0.985","0.760","0.053","0.663","0.933","0.915","0.740","0.774","0.954","0.852","0.807","0.725","0.966","0.817","-0.185","0.713","0.766","0.673","1.208","0.922","1.091","0.986","1.103","1.110","1.280","1.197","1.459","1.403","1.423","1.441","1.715","1.728","1.916","1.753","1.843","2.188","2.483","2.352","2.633","2.784","3.050","2.747"
"Earnings per Share (Diluted)","0.080","0.100","0.118","0.145","0.215","0.330","0.420","0.710","0.850","0.660","0.700","0.690","0.750","1.120","1.200","1.420","1.870","1.620","2.100","2.690","2.000","2.580","2.630","1.480","2.560","3.250","2.130","5.060","5.760","8.050","9.580","","0.025","0.025","0.025","0.025","0.025","0.025","0.030","0.030","0.033","0.035","0.040","0.040","0.035","0.050","0.060","0.055","0.055","0.060","0.075","0.100","0.100","0.065","0.105","0.125","0.125","0.155","0.180","0.175","0.200","0.200","0.220","0.215","0.215","0.200","0.235","0.220","0.005","0.115","0.205","0.250","0.130","0.190","0.170","0.200","0.140","0.240","0.140","0.120","0.250","0.230","0.320","0.230","0.340","0.290","0.340","0.290","0.280","0.350","0.260","0.500","0.310","0.450","0.500","0.470","0.460","0.480","0.470","0.330","0.340","0.400","0.740","0.450","0.510","0.620","0.770","0.610","0.680","0.680","0.780","0.600","-0.060","0.530","0.760","0.720","0.590","0.620","0.780","0.680","0.550","0.540","0.710","0.610","-0.400","0.610","0.620","0.470","0.390","0.720","0.800","0.700","0.830","0.840","-0.820","0.950","1.140","1.140","1.080","1.140","1.710","1.380","1.510","1.400","1.460","1.820","2.030","2.030","2.170","2.710","2.480","2.220"
"EPS without NRI","0.080","0.100","0.118","0.145","0.215","0.330","0.420","0.710","0.850","0.690","0.700","0.690","0.750","1.120","1.200","1.420","1.870","1.620","2.100","2.690","2.000","2.580","2.630","1.480","2.560","3.250","2.130","5.060","5.760","8.050","9.580","","0.025","0.025","0.025","0.025","0.025","0.025","0.030","0.030","0.033","0.035","0.040","0.040","0.035","0.050","0.060","0.055","0.055","0.060","0.075","0.100","0.100","0.065","0.105","0.125","0.125","0.155","0.180","0.175","0.200","0.200","0.220","0.215","0.215","0.230","0.235","0.220","0.005","0.115","0.205","0.250","0.130","0.190","0.170","0.200","0.140","0.240","0.140","0.120","0.250","0.230","0.320","0.230","0.340","0.290","0.340","0.290","0.280","0.350","0.260","0.500","0.310","0.450","0.500","0.470","0.460","0.480","0.470","0.330","0.340","0.400","0.740","0.450","0.510","0.620","0.770","0.610","0.680","0.680","0.780","0.600","-0.060","0.530","0.760","0.720","0.590","0.620","0.780","0.680","0.550","0.540","0.710","0.610","-0.400","0.610","0.620","0.470","0.390","0.720","0.800","0.700","0.830","0.840","-0.820","0.950","1.140","1.140","1.080","1.140","1.710","1.380","1.510","1.400","1.460","1.820","2.030","2.030","2.170","2.710","2.480","2.220"
"Owner Earnings per Share (TTM)","0.087","0.084","0.123","0.165","0.338","0.417","0.715","0.883","0.643","0.729","0.885","0.697","0.768","1.135","1.019","1.426","4.382","1.759","5.549","6.072","6.410","7.808","8.281","7.569","3.270","4.235","4.600","5.232","6.043","7.987","9.010","","0.087","0.086","0.077","0.084","0.084","0.106","0.119","0.153","0.123","0.163","0.167","0.178","0.165","0.185","0.292","0.298","0.338","0.362","0.358","0.410","0.417","0.494","0.507","0.450","0.715","0.790","0.872","0.897","0.883","0.831","0.771","0.832","0.643","0.706","0.787","0.929","0.729","0.614","0.666","0.689","0.885","1.153","0.975","0.969","0.697","0.495","0.516","0.714","0.768","0.877","0.985","0.852","1.135","1.232","1.159","1.146","1.019","0.981","0.874","2.723","1.426","1.769","2.031","0.390","4.382","4.240","4.622","4.504","1.759","1.805","1.946","2.118","5.549","6.025","5.818","6.011","6.072","6.936","8.043","9.009","6.410","6.558","6.742","7.165","7.808","7.889","7.887","7.778","8.281","8.445","8.609","8.712","7.569","7.680","7.856","8.082","3.270","2.195","0.821","-0.670","4.235","4.307","4.515","4.575","4.600","4.652","4.643","4.728","5.232","5.163","5.366","5.793","6.043","6.677","6.917","7.505","7.987","8.592","8.762","9.005"
"Free Cash Flow per Share","0.067","0.088","0.135","0.149","0.316","0.402","0.707","1.145","0.953","1.105","1.237","1.370","1.241","1.448","1.218","1.571","1.946","1.769","2.475","2.867","3.447","2.902","3.217","2.874","3.118","4.006","4.138","4.935","5.888","7.376","8.421","","0.032","0.017","0.018","0.021","0.031","0.027","0.030","0.041","0.037","0.036","0.037","0.055","0.027","0.038","0.137","0.076","0.074","0.067","0.112","0.146","0.085","0.147","0.142","0.182","0.236","0.229","0.184","0.239","0.491","0.246","0.243","0.244","0.220","0.244","0.238","0.333","0.292","0.291","0.305","0.355","0.285","0.550","0.230","0.368","0.225","0.299","0.404","0.438","0.101","0.351","0.314","0.439","0.343","0.382","0.180","0.409","0.248","0.365","0.148","0.693","0.370","0.564","0.407","0.671","0.305","0.282","0.554","0.608","0.332","0.631","0.513","0.787","0.548","0.878","0.431","0.942","0.620","0.949","0.634","1.041","0.828","0.928","0.456","1.036","0.485","0.827","0.319","1.065","1.011","0.847","0.343","0.997","0.623","0.930","0.446","1.009","0.733","1.192","0.550","1.147","1.117","1.322","0.686","1.183","0.956","1.295","0.669","1.415","1.559","1.353","0.928","1.790","1.820","1.889","1.095","2.250","2.145","2.475","1.140","2.661"
"Operating Cash Flow per Share","0.102","0.113","0.163","0.198","0.364","0.450","0.786","1.198","1.032","1.204","1.306","1.452","1.343","1.523","1.368","1.800","2.282","2.116","2.697","3.141","3.718","3.404","3.870","3.594","4.159","5.044","5.630","6.731","7.897","10.087","11.526","","0.040","0.022","0.023","0.027","0.038","0.033","0.036","0.050","0.044","0.043","0.048","0.065","0.049","0.050","0.146","0.089","0.090","0.077","0.123","0.156","0.102","0.158","0.156","0.196","0.276","0.239","0.196","0.243","0.518","0.258","0.264","0.266","0.243","0.266","0.262","0.356","0.321","0.304","0.321","0.370","0.311","0.565","0.255","0.385","0.250","0.315","0.420","0.458","0.152","0.367","0.330","0.458","0.367","0.402","0.210","0.438","0.320","0.406","0.205","0.739","0.455","0.618","0.481","0.751","0.434","0.367","0.649","0.679","0.429","0.680","0.555","0.833","0.634","0.942","0.488","1.019","0.695","1.000","0.692","1.129","0.901","0.999","0.566","1.147","0.697","0.973","0.526","1.207","1.170","1.000","0.523","1.166","0.842","1.098","0.698","1.298","1.067","1.466","0.804","1.364","1.409","1.595","1.021","1.559","1.467","1.759","1.146","1.746","2.082","1.792","1.389","2.281","2.440","2.532","1.643","2.919","2.996","3.243","1.917","3.370"
"Cash per Share","0.091","0.112","0.163","0.208","0.273","0.382","0.386","1.687","2.252","2.935","3.606","4.554","5.578","3.525","3.395","2.497","2.586","3.530","4.244","6.300","7.522","9.249","10.403","12.025","14.503","17.252","17.425","17.509","18.033","17.334","13.986","","0.091","0.092","0.087","0.095","0.112","0.093","0.104","0.126","0.163","0.143","0.099","0.129","0.208","0.201","0.244","0.307","0.273","0.316","0.322","0.402","0.382","0.409","0.265","0.417","0.386","0.522","0.609","0.609","1.687","1.836","1.723","2.023","2.252","2.324","2.527","2.813","2.935","3.357","3.538","3.572","3.606","3.785","4.058","4.307","4.554","4.778","4.892","5.234","5.578","5.929","3.171","3.480","3.525","3.763","3.342","3.405","3.395","3.242","2.953","2.951","2.497","2.306","2.259","2.828","2.586","2.329","2.330","2.847","3.530","4.127","4.097","4.527","4.244","5.159","4.909","5.948","6.300","6.826","6.172","7.087","7.522","7.913","8.158","8.921","9.249","9.666","10.114","10.705","10.403","10.805","10.982","11.764","12.025","12.441","12.951","13.412","14.503","17.591","15.884","16.317","17.252","17.937","18.531","17.200","17.425","17.693","16.616","17.169","17.509","17.898","17.639","18.133","18.033","18.241","17.488","16.645","17.334","17.388","16.713","13.986"
