Downloaded from http://www.GuruFocus.com on 2022-06-3 at 05:01(CST), Friday
Filename: Gurufocus_NKE_Financial_2022-06-3-05-01.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

NKE,Nike Inc,USA,Consumer Cyclical,Manufacturing - Apparel & Accessories,Footwear & AccessoriesFootwear & Accessories,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","123.410000"
"Market Cap (Million)","194218.643"
"Shares Outstanding (Million)","1573.77"
"PE Ratio","32.57"
"PB Ratio","13.12"
"PS Ratio","4.27"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","9.50","7.50","20.60"
"EBITDA  Growth (%)","8.60","5.60","57.50"
"Free Cash Flow Growth (%)","12.40","11.00","39.20"
"Book Value Growth (%)","1.40","1.40","24.40"

30 Year Financials of NKE - Nike Inc

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199205","199305","199405","199505","199605","199705","199805","199905","200005","200105","200205","200305","200405","200505","200605","200705","200805","200905","201005","201105","201205","201305","201405","201505","201605","201705","201805","201905","202005","202105","TTM/current",",","199205","199208","199211","199302","199305","199308","199311","199402","199405","199408","199411","199502","199505","199508","199511","199602","199605","199608","199611","199702","199705","199708","199711","199802","199805","199808","199811","199902","199905","199908","199911","200002","200005","200008","200011","200102","200105","200108","200111","200202","200205","200208","200211","200302","200305","200308","200311","200402","200405","200408","200411","200502","200505","200508","200511","200602","200605","200608","200611","200702","200705","200708","200711","200802","200805","200808","200811","200902","200905","200908","200911","201002","201005","201008","201011","201102","201105","201108","201111","201202","201205","201208","201211","201302","201305","201308","201311","201402","201405","201408","201411","201502","201505","201508","201511","201602","201605","201608","201611","201702","201705","201708","201711","201802","201805","201808","201811","201902","201905","201908","201911","202002","202005","202008","202011","202102","202105","202108","202111","202202"
"Revenue per Share","1.409","1.620","1.618","2.082","2.755","3.970","4.034","3.816","4.019","4.345","4.543","4.997","5.685","6.350","7.060","8.018","9.238","9.770","9.624","10.356","12.415","13.811","15.345","17.300","18.580","20.301","21.938","24.170","23.500","27.674","28.973","","0.351","0.455","0.361","0.401","0.405","0.458","0.337","0.368","0.429","0.499","0.449","0.487","0.618","0.706","0.630","0.650","0.836","0.990","0.913","1.049","1.026","1.190","0.970","0.966","1.005","1.094","0.846","0.967","0.966","1.116","0.910","0.957","1.045","1.207","1.013","0.975","1.144","0.601","1.084","0.517","1.260","1.287","1.179","1.131","1.401","1.419","1.307","1.341","1.614","1.648","1.458","1.528","1.733","1.798","1.644","1.706","1.890","2.091","1.862","1.928","2.156","2.288","2.143","2.254","2.532","2.744","2.343","2.275","2.409","2.441","2.227","2.404","2.561","2.648","2.483","2.615","2.618","3.205","2.960","3.026","3.326","3.574","3.261","3.393","3.655","3.827","3.531","3.853","4.144","4.503","4.170","4.220","4.414","4.796","4.388","4.623","4.781","5.302","4.831","5.000","5.169","5.409","5.150","5.534","5.604","6.087","5.784","5.971","6.329","6.673","6.476","6.348","3.989","6.649","6.985","6.405","7.640","7.562","7.022","6.749"
"EBITDA per Share","0.249","0.281","0.247","0.339","0.472","0.669","0.463","0.472","0.540","0.562","0.608","0.697","0.865","1.008","1.133","1.180","1.366","1.446","1.453","1.647","1.844","2.041","2.355","2.727","2.964","3.230","3.146","3.393","2.660","4.806","4.879","","0.053","0.090","0.060","0.069","0.062","0.089","0.042","0.051","0.061","0.082","0.069","0.080","0.104","0.134","0.100","0.100","0.148","0.181","0.143","0.194","0.153","0.209","0.128","0.082","0.055","0.151","0.094","0.138","0.095","0.179","0.127","0.132","0.120","0.192","0.117","0.102","0.151","0.091","0.137","0.057","0.180","0.192","0.148","0.135","0.223","0.236","0.177","0.189","0.262","0.266","0.227","0.233","0.285","0.332","0.251","0.273","0.273","0.316","0.244","0.264","0.358","0.356","0.285","0.365","0.357","0.400","0.303","0.346","0.398","0.382","0.297","0.377","0.404","0.421","0.371","0.408","0.453","0.517","0.391","0.481","0.445","0.500","0.451","0.530","0.570","0.673","0.483","0.590","0.609","0.788","0.593","0.686","0.662","0.902","0.627","0.748","0.686","0.823","0.761","0.844","0.802","0.770","0.663","0.843","0.835","0.927","0.704","0.885","0.877","1.075","0.882","1.083","-0.389","1.245","1.135","1.107","1.321","1.415","1.018","1.125"
"EBIT per Share","0.230","0.256","0.220","0.300","0.415","0.596","0.365","0.373","0.440","0.464","0.483","0.574","0.719","0.875","0.996","1.047","1.207","1.251","1.252","1.462","1.633","1.767","2.031","2.360","2.584","2.807","2.679","2.949","1.957","4.310","4.405","","0.047","0.085","0.055","0.063","0.054","0.083","0.036","0.044","0.053","0.076","0.062","0.073","0.085","0.126","0.091","0.090","0.118","0.169","0.130","0.178","0.121","0.190","0.109","0.062","0.011","0.126","0.067","0.108","0.077","0.152","0.087","0.107","0.094","0.168","0.091","0.076","0.130","0.077","0.101","0.046","0.141","0.165","0.118","0.105","0.187","0.203","0.137","0.152","0.227","0.237","0.192","0.195","0.253","0.300","0.216","0.230","0.246","0.279","0.211","0.241","0.318","0.321","0.243","0.320","0.321","0.356","0.257","0.305","0.332","0.341","0.249","0.333","0.337","0.389","0.313","0.364","0.401","0.459","0.344","0.416","0.405","0.425","0.380","0.479","0.492","0.590","0.404","0.516","0.523","0.700","0.502","0.592","0.566","0.808","0.537","0.646","0.591","0.717","0.656","0.744","0.690","0.660","0.548","0.721","0.720","0.816","0.594","0.775","0.763","0.966","0.765","0.748","-0.530","1.108","0.982","1.038","1.184","1.311","0.899","1.011"
"Earnings per Share (Diluted)","0.017","0.018","0.015","0.021","0.236","0.168","0.169","0.196","0.259","0.270","0.305","0.221","0.439","0.560","0.330","0.733","0.935","0.758","0.965","1.100","1.175","1.350","1.490","1.850","2.160","2.510","1.170","2.490","1.600","3.560","3.790","","0.029","0.006","0.004","0.005","0.032","0.006","0.003","0.003","0.030","0.006","0.005","0.005","0.050","0.009","0.013","0.012","0.068","0.024","0.038","0.050","0.067","0.053","0.030","0.016","-0.029","0.035","0.015","0.028","0.042","0.044","0.048","0.033","0.158","0.096","0.055","0.044","0.075","0.046","0.060","0.029","0.098","-0.023","0.071","0.059","0.115","0.123","0.083","0.093","0.141","0.151","0.121","0.126","0.163","0.201","0.143","0.078","0.080","0.093","0.080","0.085","0.474","0.280","0.178","0.230","0.245","0.258","0.200","0.125","0.175","0.260","0.190","0.253","0.263","0.285","0.235","0.270","0.310","0.340","0.250","0.300","0.293","0.305","0.210","0.475","0.365","0.430","0.295","0.375","0.390","0.545","0.370","0.447","0.490","0.670","0.450","0.550","0.490","0.730","0.497","0.680","0.600","0.570","0.460","-0.570","0.693","0.670","0.520","0.680","0.620","0.860","0.700","0.530","-0.510","0.950","0.780","0.900","0.930","1.160","0.830","0.870"
"EPS without NRI","0.017","0.018","0.015","0.021","0.236","0.168","0.169","0.196","0.259","0.270","0.305","0.221","0.439","0.560","0.330","0.733","0.935","0.758","0.965","1.120","1.200","1.340","1.490","1.850","2.160","2.510","1.170","2.490","1.600","3.560","3.790","","0.029","0.006","0.004","0.005","0.032","0.006","0.003","0.003","0.030","0.006","0.005","0.005","0.050","0.009","0.013","0.012","0.068","0.024","0.038","0.050","0.067","0.053","0.030","0.016","-0.029","0.035","0.015","0.028","0.042","0.044","0.048","0.033","0.158","0.096","0.055","0.044","0.075","0.047","0.060","0.029","0.098","0.101","0.071","0.059","-0.010","0.123","0.083","0.093","0.141","0.151","0.121","0.126","0.163","0.201","0.143","0.078","0.080","0.093","0.080","0.085","0.474","0.280","0.178","0.230","0.245","0.258","0.200","0.125","0.175","0.260","0.190","0.253","0.263","0.285","0.235","0.270","0.330","0.340","0.255","0.305","0.293","0.315","0.285","0.365","0.380","0.430","0.295","0.375","0.390","0.545","0.370","0.447","0.490","0.670","0.450","0.550","0.490","0.730","0.497","0.680","0.600","0.570","0.460","-0.570","0.693","0.670","0.520","0.680","0.620","0.860","0.700","0.530","-0.510","0.950","0.780","0.900","0.930","1.160","0.830","0.870"
"Owner Earnings per Share (TTM)","0.126","0.061","0.204","0.071","0.102","0.071","0.125","0.192","0.261","0.129","0.364","0.161","0.579","0.614","0.667","0.749","0.802","0.450","1.365","0.718","0.711","1.377","1.292","1.974","1.368","1.744","2.261","2.740","0.677","3.289","2.860","","0.126","0.111","0.101","0.066","0.061","0.117","0.136","0.166","0.204","0.174","0.148","0.124","0.071","0.074","0.036","0.064","0.102","0.049","0.092","0.037","0.071","0.193","0.217","0.306","0.125","0.085","0.055","0.091","0.192","0.216","0.234","0.234","0.261","0.198","0.180","0.093","0.129","0.078","0.205","0.105","0.364","0.209","0.223","0.229","0.161","0.370","0.449","0.527","0.579","0.600","0.582","0.624","0.614","0.560","0.610","0.564","0.667","0.662","0.563","0.638","0.749","0.790","0.944","0.952","0.802","0.822","0.646","0.253","0.450","0.618","0.808","1.264","1.365","1.163","1.044","0.942","0.718","0.662","0.700","0.695","0.711","0.974","1.008","1.186","1.377","1.412","1.253","1.256","1.292","1.297","1.477","1.988","1.974","1.858","1.735","1.228","1.368","1.585","1.861","2.103","1.744","1.581","1.837","1.677","2.261","2.740","2.796","2.920","2.740","2.242","1.905","1.999","0.677","1.013","1.962","1.998","3.289","3.369","3.532","2.857"
"Free Cash Flow per Share","0.137","0.069","0.205","0.044","0.048","-0.062","0.005","0.251","0.125","0.155","0.367","0.344","0.605","0.607","0.630","0.769","0.738","0.652","1.432","0.710","0.671","1.328","1.177","2.101","1.295","1.620","2.367","2.956","0.879","3.704","3.314","","0.075","0.015","0.030","-0.060","0.084","0.069","0.043","0.004","0.087","0.042","0.011","-0.036","0.025","0.036","-0.029","-0.007","0.050","-0.023","-0.004","-0.086","0.051","0.012","0.008","-0.104","0.088","0.124","0.095","-0.066","0.101","0.014","0.084","-0.050","0.079","0.049","0.022","-0.024","0.110","0.041","0.073","-0.001","0.220","0.060","0.086","-0.011","0.209","0.144","0.172","0.069","0.219","0.146","0.146","0.125","0.192","0.095","0.175","0.070","0.289","0.080","0.111","0.153","0.427","0.112","0.257","0.131","0.237","0.127","0.083","-0.044","0.487","0.320","0.291","0.226","0.595","0.063","0.171","0.109","0.372","-0.014","0.195","0.111","0.381","0.236","0.310","0.149","0.637","0.205","0.069","0.285","0.624","0.238","0.361","0.880","0.625","0.093","0.147","0.340","0.722","0.299","0.441","0.504","0.377","0.182","0.659","0.343","1.128","0.586","0.763","0.529","1.079","0.069","0.423","0.569","-0.183","0.443","1.432","0.688","1.138","0.572","1.595","0.009"
"Operating Cash Flow per Share","0.181","0.109","0.246","0.111","0.140","0.140","0.219","0.418","0.313","0.301","0.497","0.431","0.705","0.726","0.787","0.923","0.960","0.885","1.602","0.933","0.971","1.654","1.663","2.646","1.951","2.273","2.987","3.647","1.561","4.136","3.741","","0.091","0.026","0.039","-0.016","0.061","0.078","0.052","0.008","0.104","0.050","0.029","-0.020","0.051","0.058","-0.009","0.015","0.081","0.009","0.045","-0.030","0.115","0.059","0.065","-0.056","0.155","0.161","0.134","-0.025","0.154","0.141","0.116","-0.063","0.120","0.081","0.060","0.010","0.151","0.054","0.103","0.011","0.272","0.080","0.106","0.014","0.231","0.164","0.193","0.095","0.251","0.171","0.179","0.150","0.228","0.122","0.226","0.101","0.337","0.116","0.151","0.183","0.474","0.157","0.311","0.176","0.315","0.181","0.143","0.012","0.549","0.361","0.338","0.260","0.643","0.108","0.223","0.166","0.439","0.046","0.272","0.175","0.479","0.295","0.389","0.245","0.731","0.339","0.181","0.407","0.741","0.385","0.488","1.013","0.762","0.280","0.311","0.504","0.862","0.461","0.580","0.661","0.573","0.343","0.797","0.485","1.300","0.796","0.940","0.664","1.249","0.247","0.572","0.741","-0.001","0.554","1.537","0.798","1.245","0.686","1.705","0.105"
"Cash per Share","0.108","0.120","0.221","0.095","0.114","0.192","0.047","0.088","0.118","0.141","0.270","0.301","0.584","0.874","1.125","1.418","1.413","1.779","2.658","2.424","2.051","3.336","2.955","3.456","3.244","3.761","3.276","2.974","5.640","8.540","8.545","","0.108","0.146","0.146","0.081","0.120","0.149","0.157","0.163","0.221","0.262","0.233","0.105","0.095","0.078","0.089","0.113","0.114","0.173","0.116","0.130","0.192","0.173","0.060","0.065","0.047","0.073","0.113","0.057","0.088","0.101","0.115","0.073","0.118","0.188","0.151","0.086","0.141","0.170","0.214","0.163","0.270","0.203","0.263","0.210","0.301","0.475","0.460","0.433","0.584","0.618","0.785","0.781","0.874","0.909","0.991","0.970","1.125","0.860","0.946","1.122","1.418","1.399","1.544","1.448","1.413","1.335","1.410","1.344","1.779","1.863","2.057","2.088","2.658","2.453","2.502","0.000","2.424","1.995","1.833","1.744","2.051","1.813","1.968","2.262","3.336","3.137","2.921","2.854","2.955","2.650","2.727","3.117","3.456","3.166","3.583","3.030","3.244","2.870","3.589","3.729","3.761","3.371","3.934","2.948","3.276","2.687","2.562","2.572","2.974","2.336","2.246","2.046","5.640","6.058","7.500","7.934","8.540","8.651","9.541","8.545"
