Downloaded from http://www.GuruFocus.com on 2022-06-3 at 05:02(CST), Friday
Filename: Gurufocus_SHOP_Financial_2022-06-3-05-02.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

SHOP,Shopify Inc,Canada,Technology,Software,Software - ApplicationSoftware - Application,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","398.870000"
"Market Cap (Million)","49888.987"
"Shares Outstanding (Million)","126.14"
"PE Ratio","404.28"
"PB Ratio","5.11"
"PS Ratio","10.57"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","49.30","33.00"
"EBITDA  Growth (%)","0.00","0.00","-92.70"
"Free Cash Flow Growth (%)","0.00","0.00","-61.00"
"Book Value Growth (%)","0.00","0.00","6.30"

30 Year Financials of SHOP - Shopify Inc

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","201812","201912","202012","202112","TTM/current",",","199109","199112","199203","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806","201809","201812","201903","201906","201909","201912","202003","202006","202009","202012","202103","202106","202109","202112","202203"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.359","0.756","1.579","3.325","4.635","7.030","10.156","13.963","23.728","36.210","37.948","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.283","0.356","0.411","0.529","0.560","0.847","0.695","0.898","0.904","1.065","1.173","1.462","1.412","1.608","1.736","2.231","2.096","2.311","2.532","3.191","2.889","3.232","3.454","4.353","4.024","5.819","6.144","7.907","7.805","8.782","8.805","10.809","9.552"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.011","-0.038","-0.255","-0.170","-0.276","-0.269","-0.614","-0.532","2.584","25.188","1.304","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.075","-0.090","-0.042","-0.048","-0.030","-0.034","-0.032","-0.055","-0.083","-0.072","-0.068","-0.055","-0.110","-0.112","-0.070","0.016","-0.125","-0.220","-0.236","-0.034","-0.261","-0.288","-0.139","-0.050","-0.392","0.198","1.645","1.092","10.939","7.334","10.617","-3.665","-12.982"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.023","-0.064","-0.325","-0.288","-0.442","-0.513","-0.870","-0.848","2.016","24.667","0.775","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.090","-0.106","-0.062","-0.068","-0.052","-0.065","-0.057","-0.083","-0.121","-0.106","-0.112","-0.104","-0.160","-0.169","-0.128","-0.061","-0.199","-0.290","-0.294","-0.088","-0.323","-0.354","-0.216","-0.160","-0.515","0.036","1.502","0.947","10.814","7.219","10.510","-3.840","-13.114"
"Earnings per Share (Diluted)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.019","-0.073","-0.335","-0.300","-0.420","-0.420","-0.610","-1.100","2.590","22.900","1.250","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.096","-0.103","-0.064","-0.072","-0.068","-0.060","-0.060","-0.080","-0.110","-0.100","-0.110","-0.100","-0.150","-0.150","-0.090","-0.030","-0.160","-0.230","-0.220","-0.010","-0.220","-0.260","-0.640","0.010","-0.270","0.290","1.540","0.990","9.940","6.900","9.000","-2.950","-11.700"
"EPS without NRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.019","-0.073","-0.340","-0.300","-0.420","-0.420","-0.610","-1.100","2.590","22.900","1.250","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.096","-0.103","-0.064","-0.020","-0.068","-0.060","-0.060","-0.080","-0.110","-0.100","-0.110","-0.100","-0.150","-0.150","-0.090","-0.030","-0.160","-0.230","-0.220","-0.010","-0.220","-0.260","-0.640","0.010","-0.270","0.290","1.540","0.990","9.940","6.900","9.000","-2.950","-11.700"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","-1.010","-0.860","1.750","23.030","-0.990","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-0.780","-0.860","-1.010","-0.930","-0.910","-1.210","-0.860","-1.930","-1.150","0.520","1.750","13.350","18.720","27.050","23.030","-1.000"
"Free Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.047","-0.353","-0.086","-0.145","-0.171","-0.305","0.073","3.102","3.562","1.980","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.036","-0.103","-0.128","-0.086","0.006","0.061","-0.087","-0.030","-0.030","-0.033","-0.057","-0.025","0.005","-0.134","-0.112","0.069","-0.124","-0.137","-0.051","0.004","0.120","0.015","-0.408","0.339","-0.872","1.357","0.635","1.933","1.030","0.456","0.239","1.837","-0.552"
"Operating Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.031","0.021","-0.012","0.255","0.167","0.082","0.088","0.625","3.442","3.960","2.464","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","-0.009","-0.042","-0.027","0.066","0.059","0.126","0.002","0.063","0.008","0.068","0.013","0.075","0.044","-0.094","-0.063","0.190","-0.018","-0.009","0.027","0.086","0.219","0.206","-0.262","0.456","-0.727","1.427","0.715","1.984","1.071","0.521","0.328","2.040","-0.425"
"Cash per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","1.256","0.894","2.374","4.389","9.392","17.842","21.087","52.134","61.702","57.451","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","1.256","0.000","0.000","0.000","0.894","0.886","2.626","2.455","2.374","2.338","2.197","4.501","4.389","4.333","9.464","9.334","9.392","14.958","14.799","14.754","17.842","17.913","17.891","23.124","21.087","20.137","33.315","50.210","52.134","63.321","62.161","59.874","61.702","57.451"
