Downloaded from http://www.GuruFocus.com on 2022-06-3 at 04:59(CST), Friday
Filename: Gurufocus_W_Financial_2022-06-3-04-59.csv
Change log: For latest financial page display change  please click GuruFocus 30-Y Financials Page Item Changes.  Jan. 4  2017: Add 'Dividend Yield %' under 'Shiller PE Ratio' in 'Valuation Ratios' section.   Sep. 26  2016: Add 'Scaled Net Operating Assets' under 'Beneish M-Score' in 'Valuation and Quality' section.   Aug. 10  2016: Change 'LT Debt to Total Asset' to 'Total Debt to Total Asset'.   Jul. 29  2016: Add 'Effective Interest Rate on Debt %' below 'Weighted Average Cost Of Capital (WACC) %'.   Jul. 18  2016: Change 'Long-Term Debt' name to 'Long-Term Debt & Capital Lease Obligation'. Add 'Long-Term Debt' above 'Long-Term Debt & Capital Lease Obligation'. Move 'Capital Lease Obligation' in between 'Long-Term Debt' and 'Long-Term Debt & Capital Lease Obligation'.  May. 19  2016: Change 'Gross Margin %' to 'Net Interest Margin (Bank Only) %' for banks and insuance companies.   May. 13  2016: Add 'Current Ratio' below 'Sloan Ratio'. Add 'Quick Ratio' below 'Current Ratio'. Add 'Gross Profit to Total Asset' below 'LT Debt to Total Asset'.  Apr. 15  2016: Add 'Owner Earnings per Share (ttm)' below 'eps without NRI'. Add 'Price to Owner Earnings (ttm)' below 'PE Ratio (ttm)'.   Feb 12  2016: Change 'Filing Date' name to 'Restated Filing Date'. Add new 'Filing Date' above 'Restated Filing Date'. Remove 'Cumulative Effect Of Accounting Change' from Cashflow Statement (under Net Income).   Jan 28  2016: Add 'Total Debt per share' below 'Tangible Book per share'.   Jan 20  2016: Add 'Price-to-Operating-Cash-Flow ratio' below 'Price-to-Free-Cash-Flow ratio'.   Jan 18  2016: Add 'Net-Net Working Capital (per share)' below 'Net Current Asset Value (per share)'.  

W,Wayfair Inc,USA,Consumer Cyclical,Retail - Cyclical,Internet RetailInternet Retail,Cash Flow from Operations Template: Indirect Method
Key Statistics:
"Price","63.770000"
"Market Cap (Million)","6711.595"
"Shares Outstanding (Million)","105.25"
"PE Ratio","At Loss"
"PB Ratio","0.00"
"PS Ratio","0.53"

Growth Rates:
"Annual Rates (per share)","10 yrs","5 yrs","12 months"
"Revenue Growth (%)","0.00","29.90","-13.30"
"EBITDA  Growth (%)","0.00","0.00","-115.30"
"Free Cash Flow Growth (%)","0.00","0.00","-124.40"
"Book Value Growth (%)","0.00","0.00","0.00"

30 Year Financials of W - Wayfair Inc

All Numbers are in Millions except per share data, ratios, and percentage data; All shares outstanding data and per share data are split adjusted

Annual Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarterly Data:
"Fiscal Period","199212","199312","199412","199512","199612","199712","199812","199912","200012","200112","200212","200312","200412","200512","200612","200712","200812","200912","201012","201112","201212","201312","201412","201512","201612","201712","201812","201912","202012","202112","TTM/current",",","199112","199203","199206","199209","199212","199303","199306","199309","199312","199403","199406","199409","199412","199503","199506","199509","199512","199603","199606","199609","199612","199703","199706","199709","199712","199803","199806","199809","199812","199903","199906","199909","199912","200003","200006","200009","200012","200103","200106","200109","200112","200203","200206","200209","200212","200303","200306","200309","200312","200403","200406","200409","200412","200503","200506","200509","200512","200603","200606","200609","200612","200703","200706","200709","200712","200803","200806","200809","200812","200903","200906","200909","200912","201003","201006","201009","201012","201103","201106","201109","201112","201203","201206","201209","201212","201309","201312","201403","201406","201409","201412","201503","201506","201509","201512","201603","201606","201609","201612","201703","201706","201709","201712","201803","201806","201809","201812","201903","201906","201909","201912","202003","202006","202009","202012","202103","202106","202109","202112","202203"
"Revenue per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.544","13.019","26.045","26.872","39.780","54.274","75.769","99.207","142.879","131.808","120.988","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","3.373","4.198","3.962","3.570","4.062","4.912","5.100","5.882","7.081","8.786","8.850","9.281","10.123","11.506","11.168","12.949","13.728","16.372","15.873","18.565","18.996","22.265","21.347","25.525","24.913","27.377","24.764","35.893","35.161","36.009","32.505","31.596","29.995","30.892","28.505"
"EBITDA per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.171","-0.042","-2.484","-0.584","-1.655","-1.706","-3.911","-7.989","6.434","2.154","-1.289","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.003","-0.009","-0.341","-0.224","-0.221","-0.781","-0.246","-0.144","-0.112","-0.082","-0.374","-0.426","-0.542","-0.312","-0.417","-0.210","-0.585","-0.493","-0.872","-0.745","-1.255","-1.036","-1.657","-1.378","-2.240","-2.704","-2.078","3.104","2.572","1.760","0.972","1.804","0.154","-1.104","-2.143"
"EBIT per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.304","-0.228","-2.918","-0.972","-2.309","-2.707","-5.292","-10.076","3.545","-0.942","-4.296","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.052","-0.062","-0.400","-0.281","-0.288","-0.872","-0.327","-0.233","-0.222","-0.190","-0.499","-0.575","-0.724","-0.511","-0.653","-0.433","-0.847","-0.771","-1.165","-1.069","-1.618","-1.435","-2.092","-1.861","-2.783","-3.329","-2.788","2.527","1.907","1.000","0.215","1.171","-0.633","-1.882","-2.952"
"Earnings per Share (Diluted)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.472","-0.582","-2.970","-0.920","-2.290","-2.810","-5.630","-10.680","1.860","-1.260","-4.570","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.110","-0.127","-0.500","-0.338","-0.349","-0.730","-0.330","-0.230","-0.180","-0.180","-0.490","-0.570","-0.720","-0.510","-0.660","-0.450","-0.880","-0.830","-1.220","-1.130","-1.690","-1.590","-2.200","-1.980","-2.940","-3.540","-3.040","2.540","1.670","0.230","0.160","1.140","-0.750","-1.920","-3.040"
"EPS without NRI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.472","-0.870","-2.970","-0.920","-2.290","-2.810","-5.630","-10.680","1.860","-1.260","-4.570","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.190","-0.100","-0.500","-0.338","-0.349","-0.730","-0.330","-0.230","-0.180","-0.180","-0.490","-0.570","-0.720","-0.510","-0.660","-0.450","-0.880","-0.830","-1.220","-1.130","-1.690","-1.590","-2.200","-1.980","-2.940","-3.540","-3.040","2.540","1.670","0.230","0.160","1.140","-0.750","-1.920","-3.040"
"Owner Earnings per Share (TTM)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","-1.778","-6.849","7.715","-1.804","-6.020","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","-1.104","-1.013","-1.539","-1.778","-2.994","-3.870","-5.398","-6.849","-8.986","2.066","5.562","7.715","11.251","2.923","-0.838","-1.804","-6.022"
"Free Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-0.157","0.265","-0.827","0.871","-0.768","-1.302","-1.532","-6.500","10.929","1.250","-3.274","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.057","0.510","-0.547","-0.384","-0.271","0.611","-0.617","0.131","0.421","0.926","-0.954","-0.229","-0.164","0.569","-0.802","-0.314","-0.212","0.016","-0.538","-0.085","-0.655","-0.256","-1.831","-0.996","-1.955","-1.716","-3.769","8.785","2.335","1.256","1.047","1.688","-1.953","0.143","-3.152"
"Operating Cash Flow per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.056","0.489","0.081","1.614","0.739","0.387","0.948","-2.141","14.313","3.942","-0.313","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.000","-0.007","0.581","-0.347","-0.185","-0.134","0.661","-0.423","0.340","0.614","1.073","-0.606","0.294","0.184","0.859","-0.536","0.209","0.284","0.420","-0.148","0.534","0.087","0.470","-0.893","-0.030","-0.826","-0.394","-2.724","9.466","3.031","2.031","1.654","2.253","-1.258","0.844","-2.152"
"Cash per Share","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.434","1.639","4.999","4.579","4.061","7.029","10.620","10.545","26.039","22.882","18.941","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.434","0.000","1.639","0.000","1.409","1.575","4.999","3.358","3.436","3.871","4.579","3.657","3.569","3.429","4.061","3.201","2.940","6.965","7.029","6.551","6.431","5.755","10.620","8.815","7.758","14.013","10.545","9.442","24.975","26.747","26.039","25.973","25.120","22.961","22.882","18.941"
