Symbol,Security Name,Exchange,Country
A,"Agilent Technologies, Inc. Common Stock",NYSE,USA
AA,Alcoa Corporation Common Stock ,NYSE,USA
AAC,Ares Acquisition Corporation Class A Ordinary Shares,NYSE,USA
AAC.U,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant",NYSE,USA
AAC.W,"Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,USA
AAIC,Arlington Asset Investment Corp Class A (new),NYSE,USA
AAIC$B,Arlington Asset Investment Corp 7.00% ,NYSE,USA
AAIC$C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,NYSE,USA
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,NYSE,USA
AAM$A,"Apollo Asset Management, Inc. 6.375% Series A Preferred Stock",NYSE,USA
AAM$B,"Apollo Asset Management, Inc. 6.375% Series B Preferred Stock",NYSE,USA
AAN,"Aarons Holdings Company, Inc. Common Stock ",NYSE,USA
AAP,Advance Auto Parts Inc.,NYSE,USA
AAQC,Accelerate Acquisition Corp. Class A Common Stock,NYSE,USA
AAQC.U,"Accelerate Acquisition Corp. Units, each consisting of one Class A common stock, and one-third of one redeemable warrant",NYSE,USA
AAQC.W,"Accelerate Acquisition Corp. Warrants, each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50",NYSE,USA
AAT,"American Assets Trust, Inc. Common Stock",NYSE,USA
AB,AllianceBernstein Holding L.P.  Units,NYSE,USA
ABB,ABB Ltd Common Stock,NYSE,USA
ABBV,AbbVie Inc. Common Stock,NYSE,USA
ABC,AmerisourceBergen Corporation Common Stock,NYSE,USA
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,USA
ABG,Asbury Automotive Group Inc Common Stock,NYSE,USA
ABM,ABM Industries Incorporated Common Stock,NYSE,USA
ABR,Arbor Realty Trust Common Stock,NYSE,USA
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE,USA
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE,USA
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE,USA
ABT,Abbott Laboratories Common Stock,NYSE,USA
AC,"Associated Capital Group, Inc. Common Stock",NYSE,USA
ACA,"Arcosa, Inc. Common Stock ",NYSE,USA
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,NYSE,USA
ACAQ.U,"Athena Consumer Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of one Redeemable Warrant",NYSE,USA
ACAQ.W,Athena Consumer Acquisition Corp. Redeemable warrants,NYSE,USA
ACC,American Campus Communities Inc Common Stock,NYSE,USA
ACCO,Acco Brands Corporation Common Stock,NYSE,USA
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,NYSE,USA
ACDI.U,"Ascendant Digital Acquisition Corp. III Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",NYSE,USA
ACDI.W,"Ascendant Digital Acquisition Corp. III Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",NYSE,USA
ACEL,"Accel Entertainment, Inc. ",NYSE,USA
ACH,Aluminum Corporation of China Limited American Depositary Shares,NYSE,USA
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,USA
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE,USA
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,USA
ACII,Atlas Crest Investment Corp. II Class A Common Stock,NYSE,USA
ACII.U,"Atlas Crest Investment Corp. II Units, each consisting of one Class A common stock, $.0001 par value, and one-fourth of one redeemable warrant",NYSE,USA
ACII.W,"Atlas Crest Investment Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE,USA
ACM,AECOM Common Stock,NYSE,USA
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,USA
ACP,Aberdeen Income Credit Strategies Fund Common Shares,NYSE,USA
ACP$A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE,USA
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,USA
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,NYSE,USA
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE,USA
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,USA
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,NYSE,USA
ACRO.U,"Acropolis Infrastructure Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-third of one Warrant",NYSE,USA
ACRO.W,Acropolis Infrastructure Acquisition Corp. Warrants,NYSE,USA
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,USA
ADC,Agree Realty Corporation Common Stock,NYSE,USA
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",NYSE,USA
ADCT,ADC Therapeutics SA Common Shares,NYSE,USA
ADEX,Adit EdTech Acquisition Corp. Common Stock,NYSE,USA
ADEX.U,"Adit EdTech Acquisition Corp. Units, each consisting of one share of common stock, and one-half of one redeemable warrant",NYSE,USA
ADEX.W,"Adit EdTech Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for shares of common stock at an exercise price of $11.50 per share",NYSE,USA
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,USA
ADNT,Adient plc Ordinary Shares ,NYSE,USA
ADT,ADT Inc. Common Stock,NYSE,USA
ADX,Adams Diversified Equity Fund Inc.,NYSE,USA
AEE,Ameren Corporation Common Stock,NYSE,USA
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,USA
AEG,AEGON N.V. Common Stock,NYSE,USA
AEL,American Equity Investment Life Holding Company Common Stock,NYSE,USA
AEL$A,"American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A",NYSE,USA
AEL$B,"American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B",NYSE,USA
AEM,Agnico Eagle Mines Limited Common Stock,NYSE,USA
AENZ,Aenza S.A.A. American Depositary Shares,NYSE,USA
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE,USA
AER,AerCap Holdings N.V. Ordinary Shares,NYSE,USA
AES,The AES Corporation Common Stock,NYSE,USA
AESC,The AES Corporation Corporate Units,NYSE,USA
AEVA,"Aeva Technologies, Inc. Common Stock",NYSE,USA
AEVA.W,"Aeva Technologies, Inc. Redeemable Warrants, each whole warrant exercisable for shares of common stock at an exercise price of $11.50 per share",NYSE,USA
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,USA
AFG,"American Financial Group, Inc. Common Stock",NYSE,USA
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",NYSE,USA
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",NYSE,USA
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE,USA
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",NYSE,USA
AFI,"Armstrong Flooring, Inc. Common Stock",NYSE,USA
AFL,AFLAC Incorporated Common Stock,NYSE,USA
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,NYSE,USA
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,NYSE,USA
AFTR.U,"AfterNext HealthTech Acquisition Corp. Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",NYSE,USA
AFTR.W,"AfterNext HealthTech Acquisition Corp. Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,USA
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE,USA
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,NYSE,USA
AGAC.U,"African Gold Acquisition Corporation Units, each consisting of one Class A ordinary share and three-quarters of one redeemable warrant",NYSE,USA
AGAC.W,"African Gold Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,USA
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,NYSE,USA
AGCO,AGCO Corporation Common Stock,NYSE,USA
AGD,Aberdeen Global Dynamic Dividend Fund,NYSE,USA
AGI,Alamos Gold Inc. Class A Common Shares,NYSE,USA
AGL,"agilon health, inc. Common Stock",NYSE,USA
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE,USA
AGM$C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,USA
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",NYSE,USA
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",NYSE,USA
AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",NYSE,USA
AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",NYSE,USA
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,NYSE,USA
AGO,Assured Guaranty Ltd. Common Stock,NYSE,USA
AGR,"Avangrid, Inc. Common Stock",NYSE,USA
AGRO,Adecoagro S.A. Common Shares,NYSE,USA
AGS,"PlayAGS, Inc. Common Stock",NYSE,USA
AGTI,"Agiliti, Inc. Common Stock",NYSE,USA
AGX,"Argan, Inc. Common Stock",NYSE,USA
AHH,"Armada Hoffler Properties, Inc. Common Stock",NYSE,USA
AHH$A,"Armada Hoffler Properties, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",NYSE,USA
AHL$C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,NYSE,USA
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,NYSE,USA
AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",NYSE,USA
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,USA
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,NYSE,USA
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,NYSE,USA
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,NYSE,USA
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,NYSE,USA
AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,NYSE,USA
AI,"C3.ai, Inc. Class A Common Stock",NYSE,USA
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,NYSE,USA
AIF,Apollo Tactical Income Fund Inc. Common Stock,NYSE,USA
AIG,"American International Group, Inc. New Common Stock",NYSE,USA
AIG$A,"American International Group, Inc. Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock",NYSE,USA
AIN,Albany International Corporation Common Stock,NYSE,USA
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,NYSE,USA
AIR,AAR Corp. Common Stock,NYSE,USA
AIRC,Apartment Income REIT Corp. Common Stock,NYSE,USA
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,USA
AIU,Meta Data Limited ADS,NYSE,USA
AIV,Apartment Investment and Management Company Common Stock,NYSE,USA
AIZ,"Assurant, Inc. Common Stock",NYSE,USA
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",NYSE,USA
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,USA
AJRD,"Aerojet Rocketdyne Holdings, Inc. Common Stock",NYSE,USA
AJX,Great Ajax Corp. Common Stock,NYSE,USA
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,NYSE,USA
AKA,a.k.a. Brands Holding Corp. Common Stock,NYSE,USA
AKO.A,Embotelladora Andina S.A. Common Stock,NYSE,USA
AKO.B,Embotelladora Andina S.A. Common Stock,NYSE,USA
AKR,Acadia Realty Trust Common Stock,NYSE,USA
AL,Air Lease Corporation Class A Common Stock,NYSE,USA
AL$A,"Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series A",NYSE,USA
ALB,Albemarle Corporation Common Stock,NYSE,USA
ALC,Alcon Inc. Ordinary Shares,NYSE,USA
ALCC,AltC Acquisition Corp. Class A Common Stock,NYSE,USA
ALE,"Allete, Inc.",NYSE,USA
ALEX,"Alexander & Baldwin, Inc. Common Stock REIT Holding Company",NYSE,USA
ALG,"Alamo Group, Inc. Common Stock",NYSE,USA
ALIN$A,Altera Infrastructure L.P. 7.25% Series A ,NYSE,USA
ALIN$B,Altera Infrastructure L.P. 8.50% Series B ,NYSE,USA
ALIN$E,Altera Infrastructure L.P. 8.875% Series E ,NYSE,USA
ALIT,"Alight, Inc. Class A Common Stock",NYSE,USA
ALK,"Alaska Air Group, Inc. Common Stock",NYSE,USA
ALL,Allstate Corporation (The) Common Stock,NYSE,USA
ALL$B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,NYSE,USA
ALL$G,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series G",NYSE,USA
ALL$H,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series H",NYSE,USA
ALL$I,"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series I",NYSE,USA
ALLE,Allegion plc Ordinary Shares,NYSE,USA
ALLG,Allego N.V. Ordinary Share,NYSE,USA
ALLG.W,"Allego N.V. Warrants, each exercisable for one Ordinary Share at an exercise price of $11.50 per share",NYSE,USA
ALLY,Ally Financial Inc. Common Stock,NYSE,USA
ALP$Q,"Alabama Power Company 5.00% Class A Preferred Stock, Cumulative, Par Value $1 Per Share (Stated Capital $25 Per Share)",NYSE,USA
ALSN,"Allison Transmission Holdings, Inc. Common Stock",NYSE,USA
ALTG,Alta Equipment Group Inc. Class A Common Stock,NYSE,USA
ALTG$A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),NYSE,USA
ALV,"Autoliv, Inc. Common Stock",NYSE,USA
ALX,"Alexander's, Inc. Common Stock",NYSE,USA
AM,Antero Midstream Corporation Common Stock,NYSE,USA
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),NYSE,USA
AMBC,"Ambac Financial Group, Inc. Common Stock",NYSE,USA
AMBC.W,"Ambac Financial Group, Inc. Warrants",NYSE,USA
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,NYSE,USA
AMBP.W,"Ardagh Metal Packaging S.A. Warrants, each exercisable for one Share at an exercise price of $11.50 per share",NYSE,USA
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",NYSE,USA
AMCR,Amcor plc Ordinary Shares,NYSE,USA
AME,"AMETEK, Inc.",NYSE,USA
AMG,"Affiliated Managers Group, Inc. Common Stock",NYSE,USA
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,NYSE,USA
AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,NYSE,USA
AMH$H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,NYSE,USA
AMK,"AssetMark Financial Holdings, Inc. Common Stock",NYSE,USA
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,NYSE,USA
AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",NYSE,USA
AMP,"Ameriprise Financial, Inc. Common Stock",NYSE,USA
AMPI,"Advanced Merger Partners, Inc. Class A Common Stock",NYSE,USA
AMPI.U,"Advanced Merger Partners, Inc. Units, each consisting of one share of Class A common stock and one-sixth of one redeemable warrant",NYSE,USA
AMPI.W,"Advanced Merger Partners, Inc. Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50",NYSE,USA
AMPS,"Altus Power, Inc. Class A Common Stock",NYSE,USA
AMPS.W,"Altus Power, Inc. Warrants, each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.00",NYSE,USA
AMPY,Amplify Energy Corp. Common Stock,NYSE,USA
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",NYSE,USA
AMRC,"Ameresco, Inc. Class A Common Stock",NYSE,USA
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",NYSE,USA
AMT,American Tower Corporation (REIT) Common Stock,NYSE,USA
AMTD,"AMTD IDEA Group American Depositary Shares, each representing one Class A Ordinary Share",NYSE,USA
AMWL,American Well Corporation Class A Common Stock,NYSE,USA
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",NYSE,USA
AN,"AutoNation, Inc. Common Stock",NYSE,USA
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,NYSE,USA
ANAC.U,"Arctos NorthStar Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-fourth of one redeemable warrant",NYSE,USA
ANAC.W,"Arctos NorthStar Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,USA
ANET,"Arista Networks, Inc. Common Stock",NYSE,USA
ANF,Abercrombie & Fitch Company Common Stock,NYSE,USA
ANTM,"Anthem, Inc. Common Stock",NYSE,USA
ANVS,"Annovis Bio, Inc. Common Stock",NYSE,USA
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,NYSE,USA
AOMR,"Angel Oak Mortgage, Inc. Common Stock",NYSE,USA
AON,Aon plc Class A Ordinary Shares (Ireland),NYSE,USA
AORT,"Artivion, Inc. Common Stock",NYSE,USA
AOS,A.O. Smith Corporation Common Stock,NYSE,USA
AP,Ampco-Pittsburgh Corporation Common Stock,NYSE,USA
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,NYSE,USA
APCA,AP Acquisition Corp Class A Ordinary Shares,NYSE,USA
APCA.U,"AP Acquisition Corp Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",NYSE,USA
APCA.W,"AP Acquisition Corp Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE,USA
APD,"Air Products and Chemicals, Inc. Common Stock",NYSE,USA
APG,APi Group Corporation Common Stock,NYSE,USA
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,NYSE,USA
APGB.U,"Apollo Strategic Growth Capital II Units, each consisting of one Class A Ordinary Share and one-fifth Warrant",NYSE,USA
APGB.W,"Apollo Strategic Growth Capital II Warrants, each exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share",NYSE,USA
APH,Amphenol Corporation Common Stock,NYSE,USA
APLE,"Apple Hospitality REIT, Inc. Common Shares",NYSE,USA
APN,Apeiron Capital Investment Corp. Class A Common Stock,NYSE,USA
APN.U,"Apeiron Capital Investment Corp. Units, each consisting of one share of Class A Common Stock and one-half of one Redeemable Warrant",NYSE,USA
APN.W,Apeiron Capital Investment Corp. Redeemable Warrants,NYSE,USA
APO,"Apollo Global Management, Inc. (New) Common Stock",NYSE,USA
APRN,"Blue Apron Holdings, Inc. Class A Common Stock",NYSE,USA
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,NYSE,USA
APSG.U,"Apollo Strategic Growth Capital Units, each consisting of one Class A Ordinary Share and one-third Warrant",NYSE,USA
