country,ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
USA,NVDA,27/8/20,127.6058217,128.2896982,125.4593388,126.0758286,31760400,0,0
USA,NVDA,28/8/20,126.5425724,131.2648274,126.2181073,131.2623291,53716000,0,0
USA,NVDA,31/8/20,131.6117502,135.5278313,130.1641264,133.5261078,50084000,0,0
USA,NVDA,1/9/20,134.6196592,139.7502828,134.1852436,138.0251007,51131600,0.04,0
USA,NVDA,2/9/20,146.8407862,147.0704742,138.8140334,143.273056,87401200,0,0
USA,NVDA,3/9/20,138.1024924,138.6592416,128.6152024,129.9808655,94512800,0,0
USA,NVDA,4/9/20,127.6664752,131.5737394,116.8909096,126.0561295,146368400,0,0
USA,NVDA,8/9/20,117.1880112,125.3320998,116.8859181,118.9706192,79572800,0,0
USA,NVDA,9/9/20,123.8341017,127.9211252,122.15385,126.9798889,73620000,0,0
USA,NVDA,10/9/20,129.7187189,130.4776967,121.5072162,122.9527817,69868400,0,0
USA,NVDA,11/9/20,124.6879584,126.3557223,118.798342,121.4822464,63692800,0,0
USA,NVDA,14/9/20,130.6349941,132.9718599,126.1435135,128.550293,120174400,0,0
USA,NVDA,15/9/20,132.6223391,132.8095883,128.1058827,129.7362061,72755600,0,0
USA,NVDA,16/9/20,129.3991362,130.7523342,124.9700723,124.977562,55638400,0,0
USA,NVDA,17/9/20,121.1601859,125.729062,120.1864918,124.4682541,79251200,0,0
USA,NVDA,18/9/20,125.7690021,126.1559806,119.7270936,121.7294159,69846000,0,0
USA,NVDA,21/9/20,119.0904656,125.0574707,118.885738,125.005043,72104400,0,0
USA,NVDA,22/9/20,125.5817569,126.3107836,121.3923698,126.2084198,64645200,0,0
USA,NVDA,23/9/20,125.5867604,127.099733,120.6309054,121.0753098,64701200,0,0
USA,NVDA,24/9/20,120.5609935,125.5268371,119.9792686,123.3148041,73124000,0,0
USA,NVDA,25/9/20,124.3084749,128.6626503,122.2936721,128.5652771,58801600,0,0
USA,NVDA,28/9/20,130.2280334,130.342885,127.3294203,130.1756134,57380800,0,0
USA,NVDA,29/9/20,129.2019005,134.2476459,129.1594617,132.0805511,62146000,0,0
USA,NVDA,30/9/20,131.3989572,136.0427449,131.3265597,135.1239624,68918400,0,0
USA,NVDA,1/10/20,137.3959224,137.4433595,134.4273959,135.9628448,52500400,0,0
USA,NVDA,2/10/20,132.0730791,135.0141467,130.3354014,130.4477539,55249600,0,0
USA,NVDA,5/10/20,132.1829136,136.2599558,132.0505836,136.2424774,47982000,0,0
USA,NVDA,6/10/20,138.1149753,141.2307963,136.4671736,137.1812286,78442000,0,0
USA,NVDA,7/10/20,139.8101906,141.0035991,138.4495105,139.4531708,41808400,0,0
USA,NVDA,8/10/20,140.561689,140.6565632,137.395932,138.2023468,37890000,0,0
USA,NVDA,9/10/20,137.4858288,138.0575574,136.4247501,137.4433899,34689200,0,0
USA,NVDA,12/10/20,139.7078454,143.2780595,138.9388713,142.0696716,43474400,0,0
USA,NVDA,13/10/20,142.7737227,143.2930313,139.9999424,142.2918701,34460400,0,0
USA,NVDA,14/10/20,142.7138186,143.2356263,139.4132474,140.7639313,27610000,0,0
USA,NVDA,15/10/20,137.9227239,139.8701119,137.4933065,139.513092,26722400,0,0
USA,NVDA,16/10/20,140.1796951,141.0260649,137.7404733,137.9302216,24239200,0,0
