Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,country
12/31/1999,,,,,,,,TTD,
1/3/2000,,,,,,,,TTD,
1/4/2000,,,,,,,,TTD,
1/5/2000,,,,,,,,TTD,
1/6/2000,,,,,,,,TTD,
1/7/2000,,,,,,,,TTD,
1/10/2000,,,,,,,,TTD,
1/11/2000,,,,,,,,TTD,
1/12/2000,,,,,,,,TTD,
1/13/2000,,,,,,,,TTD,
1/14/2000,,,,,,,,TTD,
1/18/2000,,,,,,,,TTD,
1/19/2000,,,,,,,,TTD,
1/20/2000,,,,,,,,TTD,
1/21/2000,,,,,,,,TTD,
1/24/2000,,,,,,,,TTD,
1/25/2000,,,,,,,,TTD,
1/26/2000,,,,,,,,TTD,
1/27/2000,,,,,,,,TTD,
1/28/2000,,,,,,,,TTD,
1/31/2000,,,,,,,,TTD,
2/1/2000,,,,,,,,TTD,
2/2/2000,,,,,,,,TTD,
2/3/2000,,,,,,,,TTD,
2/4/2000,,,,,,,,TTD,
2/7/2000,,,,,,,,TTD,
2/8/2000,,,,,,,,TTD,
2/9/2000,,,,,,,,TTD,
2/10/2000,,,,,,,,TTD,
2/11/2000,,,,,,,,TTD,
2/14/2000,,,,,,,,TTD,
2/15/2000,,,,,,,,TTD,
2/16/2000,,,,,,,,TTD,
2/17/2000,,,,,,,,TTD,
2/18/2000,,,,,,,,TTD,
2/22/2000,,,,,,,,TTD,
2/23/2000,,,,,,,,TTD,
2/24/2000,,,,,,,,TTD,
2/25/2000,,,,,,,,TTD,
2/28/2000,,,,,,,,TTD,
2/29/2000,,,,,,,,TTD,
3/1/2000,,,,,,,,TTD,
3/2/2000,,,,,,,,TTD,
3/3/2000,,,,,,,,TTD,
3/6/2000,,,,,,,,TTD,
3/7/2000,,,,,,,,TTD,
3/8/2000,,,,,,,,TTD,
3/9/2000,,,,,,,,TTD,
3/10/2000,,,,,,,,TTD,
3/13/2000,,,,,,,,TTD,
3/14/2000,,,,,,,,TTD,
3/15/2000,,,,,,,,TTD,
3/16/2000,,,,,,,,TTD,
3/17/2000,,,,,,,,TTD,
3/20/2000,,,,,,,,TTD,
3/21/2000,,,,,,,,TTD,
3/22/2000,,,,,,,,TTD,
3/23/2000,,,,,,,,TTD,
3/24/2000,,,,,,,,TTD,
3/27/2000,,,,,,,,TTD,
3/28/2000,,,,,,,,TTD,
3/29/2000,,,,,,,,TTD,
3/30/2000,,,,,,,,TTD,
3/31/2000,,,,,,,,TTD,
4/3/2000,,,,,,,,TTD,
4/4/2000,,,,,,,,TTD,
4/5/2000,,,,,,,,TTD,
4/6/2000,,,,,,,,TTD,
4/7/2000,,,,,,,,TTD,
4/10/2000,,,,,,,,TTD,
4/11/2000,,,,,,,,TTD,
4/12/2000,,,,,,,,TTD,
4/13/2000,,,,,,,,TTD,
4/14/2000,,,,,,,,TTD,
4/17/2000,,,,,,,,TTD,
4/18/2000,,,,,,,,TTD,
4/19/2000,,,,,,,,TTD,
4/20/2000,,,,,,,,TTD,
4/24/2000,,,,,,,,TTD,
4/25/2000,,,,,,,,TTD,
4/26/2000,,,,,,,,TTD,
4/27/2000,,,,,,,,TTD,
4/28/2000,,,,,,,,TTD,
5/1/2000,,,,,,,,TTD,
5/2/2000,,,,,,,,TTD,
5/3/2000,,,,,,,,TTD,
5/4/2000,,,,,,,,TTD,
5/5/2000,,,,,,,,TTD,
5/8/2000,,,,,,,,TTD,
5/9/2000,,,,,,,,TTD,
5/10/2000,,,,,,,,TTD,
5/11/2000,,,,,,,,TTD,
5/12/2000,,,,,,,,TTD,
5/15/2000,,,,,,,,TTD,
5/16/2000,,,,,,,,TTD,
5/17/2000,,,,,,,,TTD,
5/18/2000,,,,,,,,TTD,
5/19/2000,,,,,,,,TTD,
5/22/2000,,,,,,,,TTD,
5/23/2000,,,,,,,,TTD,
5/24/2000,,,,,,,,TTD,
5/25/2000,,,,,,,,TTD,
5/26/2000,,,,,,,,TTD,
5/30/2000,,,,,,,,TTD,
5/31/2000,,,,,,,,TTD,
6/1/2000,,,,,,,,TTD,
6/2/2000,,,,,,,,TTD,
6/5/2000,,,,,,,,TTD,
6/6/2000,,,,,,,,TTD,
6/7/2000,,,,,,,,TTD,
